gene_symbol,log2FoldChange_all_24hrs_genes,log2FoldChange_all_48hrs_genes,log2FoldChange_all_72hrs_genes,log2FoldChange_all_96hrs_genes,log2FoldChange_all_CDK11i_genes
IDH1,0.12049494624746866,0.3475401278777208,0.1497202030014801,0.05345051446752081,-0.24194084536594782
IDH2,-1.6739880767172797,-2.3890670197524564,-2.5901255069083344,-2.3236803105186064,-1.349848688366125
IDH3A,0.1750970406617256,0.1004829366849271,-0.02262011728141763,0.17550800757778784,-0.1725699836047933
IDH3B,0.18831661809347836,-0.03510380739705957,0.2537738465676325,0.11739172855982172,-0.1868935684465034
IDH3G,0.09426634361885171,-0.15420240237123012,-0.356702897801083,-0.42705446655374335,-0.40588612281786657
IDI1,-0.1663223168678504,-1.3784543616443568,-0.8813965193767875,-0.36067000116738135,-0.37869781163886423
IDI2-AS1,-0.07172529634748546,-1.8623625787541893,-0.34532662979807943,-0.1919515212420359,0.5316668900417159
IDNK,-0.3701042799441512,0.37850492821667814,1.142508890402976,1.3457219235640892,-2.712054085001765
IDO1,0.2443978116254719,0.08444182971898449,0.06812641557597658,0.10240508773311738,0.22105150086244735
IDS,0.4086071121108818,0.2100741182662647,0.3659346546841998,0.7347495817583294,0.6493724042958084
IDUA,-0.4808283508920938,-1.836036767643198,-1.6265690788418317,-1.5147600621444557,-1.2288736397184203
IER2,0.4516352278968165,0.7073105431193223,0.5575052060020054,0.9524174702963777,1.0703792087695578
IER3,1.4239559379503341,2.1610752612362707,1.9853083865762637,1.4590197628490014,1.1010489325206672
IER3IP1,-0.16624809074045468,-0.818349154692712,-0.8863893122029715,-0.5204873282848138,0.3870217408832292
IER5,0.5125390445878776,0.9628954452368599,0.7066441684066885,0.5617133721017131,0.685532499893661
IER5L,0.36200309039796724,0.9907981840808396,1.3508905822171127,0.25295588036352973,0.19407293019072758
IFFO1,0.3907063376619319,0.9484311708853719,0.9659767620600853,1.4868817734478381,0.3760144604605512
IFFO2,0.6713128783650856,0.2979409148412909,0.3174642076534627,-0.4395329372502301,-0.04337449017563713
IFI16,0.34598028809628556,1.107619741152401,1.0122706346448636,1.3037702815772632,0.8441131857733706
IFI27,0.18105905237982173,0.8205232445319858,1.1236552934789166,1.1483945731393679,0.021769632533404533
IFI27L1,-0.4571712691030938,-0.19056798729558494,-0.4116048070113838,-0.13721665850834583,-1.2606224596641722
IFI27L2,-0.08267549968262719,0.1351202195035167,0.3416463547331464,-0.061638027806784235,-0.508148105887803
IFI35,-0.5061374859555856,-1.0321625159546672,-0.5412574811611106,-0.5760567802889754,-1.9369787371328981
IFI44,0.03932034004685752,0.29115598572140794,0.4349953931756886,0.054803855357661226,0.2793333013101572
IFI44L,0.19900405201184176,0.9300751866706035,0.7399712660101369,-0.2466833438165423,0.24451393170660948
IFI6,0.2557373747887733,0.4393251342764856,0.6148397605399676,0.6668560306165846,-0.5259420824497362
IFIH1,-1.0519065628002502,-0.5500687046517281,0.09727314261275559,0.22454104861435809,0.040296370058387744
IFIT1,0.24375033711833305,0.9513903000536386,1.7604442590377298,0.3941114130037449,-0.033461259894386905
IFIT2,0.6784360680788002,2.8852414907723283,3.3079473761257363,2.4521429994391624,0.5015886907944959
IFIT3,0.24627819622761563,2.111688177625715,2.8155416164140292,1.7790508165677754,0.8899686294608562
IFIT5,0.17950714177509544,-0.20619026720942818,1.8299391288320704e-4,-0.08402825628701571,3.2638938648460626e-4
IFITM1,-0.25218371225814024,0.8424501450544637,0.6194904378259274,0.5186575910025293,-0.4651362516844815
IFITM2,0.2012062763988019,0.7764176878230845,0.8021210463110419,0.9168904837868166,0.10523316513329706
IFITM3,0.23835365879488327,0.949628272231139,1.2610043276692338,1.0259003388914107,0.03032287908171138
